"Date","RegionID","RegionName","State","Metro","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2018-12-31,1220,"Monroe County","MI","Monroe",398,156300,-0.0012779552715655,0.00643915003219575,0.0764462809917355,0.0943088913605354,0.0303565925736962,"2018-10","2018-Q4",156600,-0.00191570881226054,"2018-10"
2018-12-31,3026,"Santa Rosa County","FL","Pensacola-Ferry Pass-Brent",399,202400,0.00396825396825397,0.0114942528735632,0.0703331570597567,0.0530531850512337,0.0195333725701663,"2006-05","2006-Q2",208200,-0.0278578290105668,"2005-12"
2018-12-31,2117,"Alamance County","NC","Burlington",400,147000,0.00616016427104723,0.0144927536231884,0.0913140311804009,0.043167563810135,0.0186491165846774,"2018-12","2018-Q4",147000,0,"2018-12"
2018-12-31,1827,"Johnson County","TX","Dallas-Fort Worth-Arlington",401,198600,0.0106870229007634,0.0425196850393701,0.160046728971963,0.0977216768695977,0.0463032862457526,"2018-12","2018-Q4",198600,0,"2018-12"
2018-12-31,1156,"Madera County","CA","Madera",402,248200,0.00323362974939369,0.0114099429502853,0.0958057395143488,0.0824729715857178,0.0346205679208287,"2006-06","2006-Q2",328400,-0.2442143727162,"2004-12"
2018-12-31,2037,"Stearns County","MN","St. Cloud",403,185800,0.00432432432432432,0.0147460404150737,0.0690448791714614,0.044015098018398,0.0186188825090101,"2006-02","2006-Q1",198500,-0.0639798488664987,"2004-04"
2018-12-31,113,"Cass County","ND","Fargo",404,222000,-0.00715563506261181,-0.0181335692171605,-0.00448430493273543,0.0588425508704087,0.0359119371384877,"2018-05","2018-Q2",227400,-0.0237467018469657,"2017-10"
2018-12-31,2289,"Franklin County","PA","Chambersburg-Waynesboro",405,171400,0.0112094395280236,0.02389486260454,0.0451219512195122,0.0285448262814376,-0.000233073172874465,"2003-05","2003-Q2",223900,-0.23447967842787,"2002-02"
2018-12-31,498,"Ellis County","TX","Dallas-Fort Worth-Arlington",406,218500,0.00691244239631336,0.0195986934204386,0.110828673106253,0.0964212270585423,0.0471013451708207,"2018-12","2018-Q4",218500,0,"2018-12"
2018-12-31,1413,"Sussex County","NJ","New York-Newark-Jersey City",407,234900,-0.00339414509970301,0.008587376556462,0.0859916782246879,0.0215954657671082,-0.0137566062638538,"2006-09","2006-Q3",312900,-0.24928092042186,"2003-12"
2018-12-31,3028,"Schuylkill County","PA","Pottsville",408,72500,0.00694444444444444,0.0342368045649073,0.124031007751938,0.0236598232948479,0.00822196434547662,"2018-12","2018-Q4",72500,0,"2018-12"
2018-12-31,3149,"Yellowstone County","MT","Billings",409,234400,0.00904003443822643,0.031236251649802,0.104097974564296,0.0329755966542318,0.0236732844626932,"2018-12","2018-Q4",234400,0,"2018-12"
2018-12-31,3119,"Rock Island County","IL","Davenport-Moline-Rock Island",410,105900,0.0056980056980057,0.0351906158357771,0.174057649667406,0.0372548519433118,0.0162887472205155,"2018-12","2018-Q4",105900,0,"2018-12"
2018-12-31,3059,"Washington County","MD","Hagerstown-Martinsburg",411,190100,0.00688559322033898,0.0117083555082491,0.0807276861853326,0.0368974030629714,0.00196746765387146,"2006-09","2006-Q3",238800,-0.20393634840871,"2004-12"
2018-12-31,251,"Mesa County","CO","Grand Junction",412,236800,0.0106700810926163,0.0277777777777778,0.0998606595448212,0.0628390235624479,0.00789106144765239,"2018-12","2018-Q4",236800,0,"2018-12"
