GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median value (dollars),Margin of Error; Median value (dollars)
0500000US09015,09015,"Windham County, Connecticut",196800,3612
0500000US10001,10001,"Kent County, Delaware",205800,3529
0500000US10003,10003,"New Castle County, Delaware",248100,2110
0500000US10005,10005,"Sussex County, Delaware",242900,4185
0500000US11001,11001,"District of Columbia, District of Columbia",537400,7150
0500000US12001,12001,"Alachua County, Florida",167000,3127
0500000US12003,12003,"Baker County, Florida",121100,11823
0500000US12005,12005,"Bay County, Florida",166400,3324
0500000US12007,12007,"Bradford County, Florida",90500,8025
0500000US12009,12009,"Brevard County, Florida",162400,1836
0500000US12011,12011,"Broward County, Florida",223400,1973
0500000US12013,12013,"Calhoun County, Florida",80000,7651
0500000US12015,12015,"Charlotte County, Florida",165200,3334
0500000US12017,12017,"Citrus County, Florida",117400,3252
0500000US12019,12019,"Clay County, Florida",165300,2723
0500000US12021,12021,"Collier County, Florida",316200,5943
0500000US12023,12023,"Columbia County, Florida",112500,4852
0500000US12027,12027,"DeSoto County, Florida",83700,3293
0500000US12029,12029,"Dixie County, Florida",71600,8743
0500000US12031,12031,"Duval County, Florida",156200,1541
0500000US12033,12033,"Escambia County, Florida",126700,3056
0500000US12035,12035,"Flagler County, Florida",188400,4084
0500000US12037,12037,"Franklin County, Florida",135300,15780
0500000US12039,12039,"Gadsden County, Florida",101300,6118
0500000US12041,12041,"Gilchrist County, Florida",96700,9063
0500000US12043,12043,"Glades County, Florida",80100,10547
0500000US12045,12045,"Gulf County, Florida",151400,22502
0500000US12047,12047,"Hamilton County, Florida",73500,6353
0500000US12049,12049,"Hardee County, Florida",81200,5287
0500000US12051,12051,"Hendry County, Florida",79700,7257
0500000US12053,12053,"Hernando County, Florida",120600,2461
0500000US12055,12055,"Highlands County, Florida",87900,2810
0500000US12057,12057,"Hillsborough County, Florida",179500,1715
0500000US12059,12059,"Holmes County, Florida",92400,9122
0500000US12061,12061,"Indian River County, Florida",172600,4185
0500000US12063,12063,"Jackson County, Florida",94900,5815
